Fish#,Time_Start,Time_End,Treatment,Tpref,Upper_Avoidance,Lower_Avoidance,Distance(m),Dist_Static,Passage#,Time INCR,Time DECR,Length(mm),Weight(g)
1,10:31,12:30,5,17.44,17.62,15.32,178,153,55,4132,2918,122,13.7
2,14:31,16:30,2,15.5,15.05,11.67,155,225,4,4308,2668,102,6.9
3,18:31,20:29,8,13.92,15.18,13.13,92,129,13,4552,2252,104,7.2
4,10:31,12:30,8,15.2,17.1,14.87,200,192,95,2312,4605,104,6.9
5,14:31,16:30,2,12.33,15.12,12.36,97,225,12,506,6498,122,12.8
6,10:31,12:30,2,14.79,16.54,14.39,218,280,60,2547,4413,104,7.3
7,14:31,16:30,8,12.96,14.7,11.75,90,199,9,2404,4602,108,8.1
8,18:31,20:30,5,13.01,16.7,12.87,164,239,2,1589,5228,124,12.8
9,14:30,16:30,2,16.83,18,15.57,127,185,18,4292,2708,119,11.3
10,18:30,20:29,2,16.26,17.41,15.29,323,279,85,3338,3483,118,10.6
11,10:32,12:30,2,14.59,16.37,14.27,484,194,501,2827,3851,113,10.1
12,14:30,16:29,5,22.5,22.63,20.02,172,206,2,6710,259,120,12.1
13,10:30,12:30,2,18.99,20.02,16.92,214,189,7,5860,1221,93,6
14,14:31,16:30,8,16.25,18.42,15.76,172,211,7,2453,4550,106,8.5
15,10:31,12:30,5,15.02,17.91,10.53,147,133,2,4306,2772,133,17.1
16,14:32,16:30,8,13.59,15.07,12.18,227,239,5,3097,3799,122,12.6
17,18:31,20:30,2,14.27,16.42,14.38,270,327,89,1268,5515,100,7.6
18,10:30,12:30,5,18.36,21.51,17.32,206,844,3,2706,4358,132,18.9
20,18:30,20:30,5,20.17,23.33,18.93,189,249,3,3440,2560,126,14.1
21,10:29,12:30,5,18.48,19.13,16.27,307,264,8,5312,1893,122,14.7
22,14:30,16:30,2,15.04,20.1,NA,167,238,1,1263,5707,116,10.8
23,10:31,12:30,8,10.82,NA,11.7,192,197,0,0,7152,106,8.3
24,14:33,16:34,8,18.44,20.77,14.23,141,152,2,4972,1405,113,9.9
25,18:31,20:29,5,18.91,22.81,NA,173,53,2,2403,4433,137,20.9
26,10:31,12:31,5,16.93,17.33,14.95,165,143,36,3638,3420,140,18.9
28,10:31,12:30,5,16.52,18.33,15.06,118,121,8,3259,3792,115,9.1
29,14:30,16:30,2,15.01,16.89,14.54,186,250,48,2380,4615,119,11.9
