Fish#,Date,Treatment,Time_Start,Time_End,Tpref,Upper_Avoidance,Lower_Avoidance,Distance(m),Dist_Static,Passage#,Length(mm),Weight(g)
3,27-Jan,6,18:31,20:30,13.36,15.14,13.07,254,303,196,50,1.14
4,28-Jan,0.5,10:30,12:30,12.73,14.67,12.71,199,175,162,65,1.43
5,28-Jan,0.5,14:38,16:31,14.82,15.93,13.88,210,267,250,56,1.12
6,28-Jan,6,18:30,20:30,12.19,14.17,12.11,215,293,136,58,1.62
7,29-Jan,0.5,10:41,12:31,14.27,15.8,13.7,160,210,128,62,1.5
8,29-Jan,0.5,14:30,16:30,13.76,15.3,13.21,195,269,203,76,3.12
9,29-Jan,6,18:31,20:30,16.12,16.4,14.3,213,258,186,64,1.57
10,30-Jan,0.5,10:33,12:30,14.13,15.57,13.51,210,303,250,65,1.82
11,30-Jan,2,14:30,16:31,12.99,14.65,12.57,173,227,202,55,1.31
12,30-Jan,6,18:32,20:30,13.56,15.28,13.17,147,245,150,63,1.66
13,31-Jan,6,10:30,12:30,11.14,13.1,10.9,125,137,60,70,3.07
14,31-Jan,0.5,14:30,16:30,13.75,15.46,13.41,222,194,173,62,1.41
15,31-Jan,2,18:31,20:30,14.09,15.89,13.72,145,183,115,52,0.94
16,1-Feb,2,10:30,12:30,12.43,14.88,12.61,135,126,58,70,2.04
17,1-Feb,2,14:30,16:30,14.08,15.71,13.63,218,234,248,52,1.18
18,1-Feb,0.5,18:32,20:30,15.87,16.5,14.43,290,299,430,57,0.94
20,2-Feb,2,14:34,16:30,11.74,14.34,12.04,93,98,31,50,0.98
21,2-Feb,0.5,18:30,20:30,14.34,15.7,13.6,191,246,167,58,1.37
22,3-Feb,0.5,10:31,12:31,13.61,15.75,13.68,194,215,189,53,1.19
23,3-Feb,2,14:31,16:30,11.87,14.22,12.1,115,157,98,57,1
24,3-Feb,2,18:32,20:30,14.2,15.99,13.89,194,180,128,50,1.65
25,4-Feb,0.5,10:32,12:32,15.37,16.3,14.23,209,191,250,58,1.52
